cumulative_distance_interp,x_interp,y_interp,radius_of_curvature_polyfit_interp
262.0,-3441.408574822221,4867254.635848459,112.22960852469971
263.0,-3442.3993077367472,4867254.771093228,106.574634489101
264.0,-3443.3932735412263,4867254.878455335,101.24531541124128
265.0,-3444.3894310958212,4867254.965870427,96.38896293253552
266.0,-3445.3867055311366,4867255.042294446,92.08271145210252
267.0,-3446.3841481618465,4867255.11557651,88.34945600144574
268.0,-3447.381590925568,4867255.186718506,85.17640350628061
269.0,-3448.379163924259,4867255.254106963,82.53315849713714
270.0,-3449.3769978553937,4867255.316123194,80.38401006756614
271.0,-3450.3752234164467,4867255.371148507,78.6967763319067
272.0,-3451.3739632113375,4867255.417513649,77.44498954454772
273.0,-3452.3732232733128,4867255.452821069,76.60474051141281
274.0,-3453.372922162543,4867255.474126715,76.15076307519509
275.0,-3454.3729762281646,4867255.478473407,76.05569890338101
276.0,-3455.373140800333,4867255.463148152,76.29286788912354
277.0,-3456.3726769561385,4867255.426187515,76.83776892227206
278.0,-3457.37075125519,4867255.3657714,77.66750684927653
279.0,-3458.36657486156,4867255.280331638,78.75966480694883
280.0,-3459.360185424282,4867255.172968027,80.09105345732948
281.0,-3460.3523494638107,4867255.050897016,81.63679373167884
282.0,-3461.343858485624,4867254.921476173,83.37365667317921
283.0,-3462.335332636948,4867254.79075081,85.28272620683089
284.0,-3463.326486308086,4867254.65783001,87.34582160135854
285.0,-3464.3167357309717,4867254.5195395835,89.54220445381863
286.0,-3465.3054969563827,4867254.372703944,91.84823933775964
287.0,-3466.2921860351044,4867254.214147517,94.23764391309543
288.0,-3467.2762271511847,4867254.040739974,96.6865502342617
289.0,-3468.2574733016627,4867253.85173712,99.18025243022821
290.0,-3469.2364101783364,4867253.6499153795,101.71622725724863
291.0,-3470.2135743265135,4867253.438334151,104.30687386286895
292.0,-3471.1895022915,4867253.220052833,106.97905676358083
293.0,-3472.1647306186055,4867252.998130827,109.77203416481613
294.0,-3473.139740202561,4867252.775378666,112.73895423016991
295.0,-3474.1140970399542,4867252.550515548,115.9421049822651
296.0,-3475.0866182757595,4867252.318911878,119.43389769090687
297.0,-3476.0560990317917,4867252.075839575,123.24854513973493
298.0,-3477.0213703637005,4867251.8167187385,127.39703675718008
299.0,-3477.9821728049346,4867251.540719903,131.88268844144207
300.0,-3478.9392050168017,4867251.2509646565,136.70806911586135
301.0,-3479.893211332735,4867250.950762927,141.8746872238963
302.0,-3480.844932704254,4867250.64340899,147.38277203511686
303.0,-3481.794861796186,4867250.331048183,153.23151729274053
304.0,-3482.7430777891077,4867250.013912445,159.42364879140723
305.0,-3483.6896207234213,4867249.692052598,165.97233028054666
306.0,-3484.6345306398807,4867249.365519468,172.90786429573757
307.0,-3485.5778844376605,4867249.034482489,180.28522588860457
308.0,-3486.5198971725977,4867248.699555716,188.1905519003442
309.0,-3487.460816264657,4867248.361457356,196.7539879220355
310.0,-3488.4008891337967,4867248.020905613,206.16779549379865
311.0,-3489.3403631999804,4867247.678618693,216.67296343254796
312.0,-3490.2794858831703,4867247.335314802,228.52873821848408
313.0,-3491.218465041756,4867246.991607495,241.99774785477774
314.0,-3492.1568993121587,4867246.646498816,257.3356978487233
315.0,-3493.0939093611796,4867246.297726472,274.8618906476688
316.0,-3494.0286030299376,4867245.942994254,294.99708115082456
317.0,-3494.9601211753948,4867245.580092125,318.30817642292226
318.0,-3495.888343137987,4867245.208737692,345.59215519737853
319.0,-3496.8138753240373,4867244.830546414,378.02035484033894
320.0,-3497.737354872017,4867244.44721396,417.3047933553565
321.0,-3498.6594189203993,4867244.060436001,465.90521437760634
322.0,-3499.5806455086654,4867243.671739467,527.4639601269614
323.0,-3500.50130764206,4867243.28178032,607.5714385837597
324.0,-3501.421580198657,4867242.890934342,715.1795709032398
325.0,-3502.3416380098374,4867242.499577176,865.4180037145882
326.0,-3503.2616555148625,4867242.108083691,1086.8098624246265
327.0,-3504.1817572748623,4867241.716729661,1441.925523674239
328.0,-3505.1019696440303,4867241.32559574,2101.1676517748965
329.0,-3506.0223075044696,4867240.934739785,3755.915771827586
330.0,-3506.9427857382852,4867240.544219661,15910.419153398952
331.0,-3507.8634192275804,4867240.154093227,7385.318194280303
332.0,-3508.7842228544587,4867239.764418347,3039.025576432581
333.0,-3509.705211501023,4867239.375252882,1930.7895072243014
334.0,-3510.6264085349544,4867238.986666716,1425.7677216054033
335.0,-3511.5478768795415,4867238.598785784,1137.7301828297243
336.0,-3512.4696909748973,4867238.211752337,952.0121071595954
337.0,-3513.391925262446,4867237.825708632,822.5123067075057
338.0,-3514.3146541836145,4867237.440796925,727.1203599393224
339.0,-3515.2379521798266,4867237.0571594685,653.9262513871488
340.0,-3516.1619171088228,4867236.675007322,595.8723817758711
341.0,-3517.0868112599283,4867236.295034687,548.5025577309947
342.0,-3518.0129673748293,4867235.91814278,508.8746315053384
343.0,-3518.940718463609,4867235.545233599,474.981231558617
344.0,-3519.870397536344,4867235.177209146,445.4945341054298
345.0,-3520.8022500484894,4867234.81474681,419.574887245044
346.0,-3521.736120373066,4867234.457495041,396.6189275454624
347.0,-3522.6717381022722,4867234.104807832,376.15458578709047
348.0,-3523.608832819048,4867233.756039152,357.7821349553932
349.0,-3524.547134106331,4867233.410542962,341.16358655054506
350.0,-3525.4863988659413,4867233.067738114,326.02832812303046
351.0,-3526.426559091021,4867232.727459234,312.16510735798084
352.0,-3527.3676158640187,4867232.3897050265,299.4142856402881
353.0,-3528.309570435982,4867232.054474593,287.6563755492942
354.0,-3529.2524240579546,4867231.721767035,276.7850032349872
355.0,-3530.1961779809853,4867231.391581454,266.7013960808652
356.0,-3531.140829945784,4867231.063908037,257.3118119726516
357.0,-3532.086329320395,4867230.738614079,248.51850252585308
358.0,-3533.0325902511327,4867230.415477399,240.2217294191635
359.0,-3533.979526087439,4867230.094273798,232.32106234215905
360.0,-3534.9270501787487,4867229.774779067,224.7191959006116
361.0,-3535.8750758745055,4867229.4567690035,217.32503797988235
362.0,-3536.823516524148,4867229.140019406,210.05540122559088
363.0,-3537.7722854771146,4867228.824306064,202.8370491354804
364.0,-3538.7213408168586,4867228.509524078,195.60882214218802
365.0,-3539.6709038564723,4867228.196270524,188.32353830703855
366.0,-3540.6212918712695,4867227.885398395,180.95912390557325
367.0,-3541.572822276058,4867227.577761058,173.5372293300394
368.0,-3542.525812492278,4867227.274211926,166.11127008027006
